rk 	nk	pr(rk)	sk
  0	0	0.00000	0.00
  1	0	0.00000	0.00
  2	0	0.00000	0.00
  3	0	0.00000	0.00
  4	0	0.00000	0.00
  5	0	0.00000	0.00
  6	0	0.00000	0.00
  7	0	0.00000	0.00
  8	0	0.00000	0.00
  9	0	0.00000	0.00
 10	0	0.00000	0.00
 11	0	0.00000	0.00
 12	0	0.00000	0.00
 13	0	0.00000	0.00
 14	0	0.00000	0.00
 15	0	0.00000	0.00
 16	0	0.00000	0.00
 17	0	0.00000	0.00
 18	0	0.00000	0.00
 19	0	0.00000	0.00
 20	0	0.00000	0.00
 21	0	0.00000	0.00
 22	0	0.00000	0.00
 23	0	0.00000	0.00
 24	1	0.00000	0.00
 25	3	0.00001	0.00
 26	12	0.00005	0.02
 27	26	0.00010	0.04
 28	36	0.00014	0.08
 29	82	0.00031	0.16
 30	116	0.00044	0.27
 31	155	0.00059	0.42
 32	205	0.00078	0.62
 33	262	0.00100	0.87
 34	341	0.00130	1.21
 35	463	0.00177	1.66
 36	561	0.00214	2.20
 37	675	0.00257	2.86
 38	831	0.00317	3.67
 39	1017	0.00388	4.66
 40	1114	0.00425	5.74
 41	1391	0.00531	7.09
 42	1559	0.00595	8.61
 43	1723	0.00657	10.28
 44	1785	0.00681	12.02
 45	2015	0.00769	13.98
 46	1994	0.00761	15.92
 47	2050	0.00782	17.92
 48	2074	0.00791	19.93
 49	2141	0.00817	22.02
 50	2014	0.00768	23.97
 51	2021	0.00771	25.94
 52	1855	0.00708	27.74
 53	1779	0.00679	29.48
 54	1717	0.00655	31.15
 55	1635	0.00624	32.74
 56	1531	0.00584	34.23
 57	1367	0.00521	35.55
 58	1242	0.00474	36.76
 59	1282	0.00489	38.01
 60	1063	0.00406	39.04
 61	980	0.00374	40.00
 62	943	0.00360	40.91
 63	953	0.00364	41.84
 64	851	0.00325	42.67
 65	856	0.00327	43.50
 66	765	0.00292	44.25
 67	808	0.00308	45.03
 68	783	0.00299	45.79
 69	791	0.00302	46.56
 70	874	0.00333	47.41
 71	800	0.00305	48.19
 72	772	0.00294	48.94
 73	858	0.00327	49.78
 74	909	0.00347	50.66
 75	903	0.00344	51.54
 76	841	0.00321	52.36
 77	912	0.00348	53.25
 78	938	0.00358	54.16
 79	954	0.00364	55.09
 80	903	0.00344	55.96
 81	902	0.00344	56.84
 82	894	0.00341	57.71
