rk 	nk	pr(rk)
  0	431	0.00164
  1	808	0.00308
  2	1024	0.00391
  3	675	0.00257
  4	831	0.00317
  5	1017	0.00388
  6	1114	0.00425
  7	1391	0.00531
  8	0	0.00000
  9	1559	0.00595
 10	1723	0.00657
 11	0	0.00000
 12	1785	0.00681
 13	0	0.00000
 14	2015	0.00769
 15	0	0.00000
 16	1994	0.00761
 17	0	0.00000
 18	2050	0.00782
 19	0	0.00000
 20	2074	0.00791
 21	0	0.00000
 22	2141	0.00817
 23	0	0.00000
 24	2014	0.00768
 25	0	0.00000
 26	2021	0.00771
 27	0	0.00000
 28	1855	0.00708
 29	1779	0.00679
 30	0	0.00000
 31	1717	0.00655
 32	0	0.00000
 33	1635	0.00624
 34	1531	0.00584
 35	0	0.00000
 36	1367	0.00521
 37	1242	0.00474
 38	1282	0.00489
 39	1063	0.00406
 40	980	0.00374
 41	943	0.00360
 42	953	0.00364
 43	851	0.00325
 44	1621	0.00618
 45	808	0.00308
 46	783	0.00299
 47	1665	0.00635
 48	800	0.00305
 49	772	0.00294
 50	858	0.00327
 51	909	0.00347
 52	1744	0.00665
 53	912	0.00348
 54	938	0.00358
 55	954	0.00364
 56	903	0.00344
 57	902	0.00344
 58	894	0.00341
 59	934	0.00356
 60	1913	0.00730
 61	0	0.00000
 62	2056	0.00784
 63	0	0.00000
 64	1126	0.00430
 65	1130	0.00431
 66	1152	0.00439
 67	1178	0.00449
 68	1281	0.00489
 69	1349	0.00515
 70	0	0.00000
 71	1460	0.00557
 72	1586	0.00605
 73	0	0.00000
 74	1759	0.00671
 75	0	0.00000
 76	1800	0.00687
 77	0	0.00000
 78	2031	0.00775
 79	0	0.00000
 80	1943	0.00741
 81	0	0.00000
 82	1943	0.00741
 83	0	0.00000
 84	1966	0.00750
 85	1864	0.00711
 86	0	0.00000
 87	1860	0.00710
 88	0	0.00000
 89	1686	0.00643
 90	0	0.00000
 91	1708	0.00652
 92	1533	0.00585
 93	1458	0.00556
 94	0	0.00000
 95	1417	0.00541
 96	1363	0.00520
 97	1385	0.00528
 98	0	0.00000
 99	1282	0.00489
100	1400	0.00534
101	1431	0.00546
102	0	0.00000
103	1345	0.00513
104	1386	0.00529
105	0	0.00000
106	1403	0.00535
107	1532	0.00584
108	0	0.00000
109	1565	0.00597
110	1550	0.00591
111	0	0.00000
112	1641	0.00626
113	1836	0.00700
114	0	0.00000
115	1891	0.00721
116	0	0.00000
117	1944	0.00742
118	0	0.00000
119	2124	0.00810
120	0	0.00000
121	2205	0.00841
122	0	0.00000
123	0	0.00000
124	2340	0.00893
125	0	0.00000
126	2338	0.00892
127	0	0.00000
128	2417	0.00922
129	0	0.00000
130	0	0.00000
131	2430	0.00927
132	0	0.00000
133	2304	0.00879
134	0	0.00000
135	2230	0.00851
136	0	0.00000
137	2194	0.00837
138	0	0.00000
139	1979	0.00755
140	0	0.00000
141	1980	0.00755
142	0	0.00000
143	1877	0.00716
144	0	0.00000
145	1886	0.00719
146	0	0.00000
147	1975	0.00753
148	0	0.00000
149	2112	0.00806
150	0	0.00000
151	2218	0.00846
152	0	0.00000
153	2251	0.00859
154	0	0.00000
155	2279	0.00869
156	0	0.00000
157	0	0.00000
158	2440	0.00931
159	0	0.00000
160	2443	0.00932
161	0	0.00000
162	2429	0.00927
163	0	0.00000
164	0	0.00000
165	2338	0.00892
166	0	0.00000
167	2269	0.00866
168	0	0.00000
169	2269	0.00866
170	0	0.00000
171	2239	0.00854
172	0	0.00000
173	2257	0.00861
174	0	0.00000
175	0	0.00000
176	2281	0.00870
177	0	0.00000
178	2300	0.00877
179	0	0.00000
180	2538	0.00968
181	0	0.00000
182	0	0.00000
183	2652	0.01012
184	0	0.00000
185	0	0.00000
186	2787	0.01063
187	0	0.00000
188	2674	0.01020
189	0	0.00000
190	0	0.00000
191	2667	0.01017
192	0	0.00000
193	2506	0.00956
194	0	0.00000
195	2246	0.00857
196	0	0.00000
197	0	0.00000
198	2179	0.00831
199	1977	0.00754
200	0	0.00000
201	1777	0.00678
202	0	0.00000
203	1688	0.00644
204	1533	0.00585
205	0	0.00000
206	1478	0.00564
207	1363	0.00520
208	1267	0.00483
209	0	0.00000
210	1261	0.00481
211	1220	0.00465
212	1175	0.00448
213	1178	0.00449
214	1309	0.00499
215	0	0.00000
216	1256	0.00479
217	1307	0.00499
218	1168	0.00446
219	1198	0.00457
220	1195	0.00456
221	1124	0.00429
222	1027	0.00392
223	922	0.00352
224	888	0.00339
225	779	0.00297
226	1387	0.00529
227	1234	0.00471
228	675	0.00257
229	1305	0.00498
230	678	0.00259
231	793	0.00303
232	1697	0.00647
233	924	0.00352
234	951	0.00363
235	952	0.00363
236	905	0.00345
237	896	0.00342
238	810	0.00309
239	1718	0.00655
240	884	0.00337
241	863	0.00329
242	887	0.00338
243	922	0.00352
244	1022	0.00390
245	991	0.00378
246	1079	0.00412
247	1058	0.00404
248	1016	0.00388
249	976	0.00372
250	910	0.00347
251	1722	0.00657
252	1138	0.00434
253	819	0.00312
254	1211	0.00462
255	563	0.00215
